doi,material,bet_surface_area_m2_g,pressure_bar,adsorption_temperature_K,pore_volume_cm3_g,year,material_taxonomy,co2_capacity_mg_g
10.1021_acs.est.7b03308,rGO@C,,1.0,300.15,,2017.0,rGO-based composite,22.995035162862564
10.1016_j.micromeso.2019.109761,aPAni/GO10,1770.0,1.0,298.15,0.91,2019.0,GO-based composite,180.84
10.1016_j.micromeso.2019.109761,Cu-BTC/GO2,1820.0,1.0,298.15,0.88,2019.0,GO-based composite,225.28
10.1016_j.micromeso.2019.109761,Cu-BTC/GO2,1820.0,1.0,273.15,0.88,2019.0,GO-based composite,398.2000000000001
10.1016_j.micromeso.2019.109761,Cu-BTC/GO5,1520.0,1.0,298.15,0.78,2019.0,GO-based composite,210.76
10.1016_j.micromeso.2019.109761,Cu-BTC/GO5,1520.0,1.0,273.15,0.78,2019.0,GO-based composite,372.24
10.1016_j.micromeso.2019.109761,Cu-BTC/GO10,1380.0,1.0,298.15,0.73,2019.0,GO-based composite,180.84
10.1016_j.micromeso.2019.109761,Cu-BTC/GO10,1380.0,1.0,273.15,0.73,2019.0,GO-based composite,308.88
10.1016_j.cej.2014.11.037,TiO2/GO-0.10,99.536,1.0,273.15,0.382,2014.0,GO non-composite,96.492
10.1016_j.cej.2014.11.037,TiO2/GO-0.10,99.536,1.0,298.15,0.382,2014.0,GO non-composite,82.72
10.1016_j.cej.2014.11.037,TiO2/GO-0.10,99.536,1.0,323.15,0.382,2014.0,GO non-composite,55.132
10.1021_acs.est.7b03308,rGO@MgO/C-2,357.7,0.15,300.15,0.88,2017.0,rGO-based composite,219.952510253468
10.1016_j.jiec.2014.12.021,UiO-66/GO-5,1184.0,1.0,298.0,0.384,2014.0,GO non-composite,148.28
10.1016_j.micromeso.2019.109761,aPAni/GO10,1770.0,1.0,273.15,0.91,2019.0,GO-based composite,300.52
10.1016_j.micromeso.2019.109761,aPAni/GO5,1910.0,1.0,273.15,0.87,2019.0,GO-based composite,312.84000000000003
10.1016_j.micromeso.2019.109761,aPPy/GO5,2560.0,1.0,298.15,1.22,2019.0,GO-based composite,182.16
10.1016_j.micromeso.2019.109761,aPAni/GO5,1910.0,1.0,298.15,0.87,2019.0,GO-based composite,187.88
10.1021_acs.est.7b03308,rGO@MgO/C-5,478.4,0.15,300.15,1.22,2017.0,rGO-based composite,224.9514309410468
10.1021_acs.est.7b03308,rGO@MgO/C-10,463.9,0.15,300.15,1.25,2017.0,rGO-based composite,215.9533737034049
10.1016_j.ijbiomac.2018.12.071,CS grafted graphene oxide aerogels,33.32,1.0,298.0,0.129,2018.0,GO-based composite,11.3476
10.1016_j.micromeso.2019.109761,aPPy/GO5,2560.0,1.0,273.15,1.22,2019.0,GO-based composite,320.32
10.1016_j.micromeso.2019.109761,aPPy/GO10,2640.0,1.0,298.15,1.28,2019.0,GO-based composite,183.04
10.1016_j.micromeso.2019.109761,aPPy/GO10,2640.0,1.0,273.15,1.28,2019.0,GO-based composite,314.16
10.1016_j.micromeso.2019.109761,aPPy/GO20,2270.0,1.0,298.15,1.1,2019.0,GO-based composite,169.84
10.1016_j.micromeso.2019.109761,aPPy/GO20,2270.0,1.0,273.15,1.1,2019.0,GO-based composite,297.0
10.1016_j.fuel.2019.03.011,GO *,,0.101325,338.0,,2019.0,GO non-composite,13.2
10.1016_j.fuel.2019.03.011,TEPA-GO,,0.101325,338.0,,2019.0,GO non-composite,220.0
10.1016_j.scitotenv.2021.151522,rGO-MnO 2,,1.0,373.0,,2021.0,rGO-based composite,162.36
10.1016_j.scitotenv.2021.151522,rGO-MnO 2,,1.0,423.0,,2021.0,rGO-based composite,94.16
10.1016_j.matchemphys.2021.124788,TEPA-GO,,1.0,338.0,,2021.0,GO non-composite,53.68
10.1016_j.matchemphys.2021.124788,rGO/Polymer Monolithic,,1.0,298.0,,2021.0,GO-based composite,169.4
10.1016_j.jssc.2018.07.022,UiO-66-NH 2 /GO,1110.0,1.0,298.15,1.42,2018.0,GO non-composite,63.8
10.1016_j.jssc.2018.07.022,HKUST-1/GO,369.0,1.0,298.15,,2018.0,GO non-composite,43.12
10.1016_j.jssc.2018.07.022,UiO-66/GO,1016.0,1.0,298.15,1.42,2018.0,GO non-composite,46.2
10.1016_j.matchemphys.2021.124788,PEI-GO,,1.0,273.0,,2021.0,GO non-composite,21.56
10.1016_j.matchemphys.2021.124788,APTES-GO,,1.0,303.0,,2021.0,GO non-composite,66.0
10.1016_j.matchemphys.2021.124788,Chitosan/GO,,1.0,298.0,,2021.0,GO non-composite,12.1
10.1016_j.matchemphys.2021.124788,EDA-GO,,1.0,298.0,,2021.0,GO non-composite,51.92
10.1016_j.matchemphys.2021.124788,GO-MPD,,1.0,298.0,,2021.0,GO non-composite,40.04
10.1016_j.matchemphys.2021.124788,GO-PEHA,,1.0,298.0,,2021.0,GO non-composite,26.84
10.1016_j.matchemphys.2021.124788,GO-TEHA,,1.0,298.0,,2021.0,GO non-composite,32.56
