doi,material,bet_surface_area_m2_g,pressure_bar,adsorption_temperature_K,pore_volume_cm3_g,year,material_taxonomy,co2_capacity_mg_g
10.1016_j.cej.2020.124022,GOF,,1.0,298.15,,2020.0,GO non-composite,67.32000000000001
10.1016_j.jcou.2021.101666,GCF-0.05,690.67,0.15,273.15,0.28,2021.0,GO-based composite,81.4
10.1016_j.jcou.2021.101666,GCF-0.05,690.67,1.0,273.15,0.28,2021.0,GO-based composite,178.2
10.1016_j.jcou.2021.101666,GCF-0.05,690.67,0.15,298.15,0.28,2021.0,GO-based composite,61.6
10.1016_j.jcou.2021.101666,GCF-0.05,690.67,1.0,298.15,0.28,2021.0,GO-based composite,143.88
10.1016_j.jcou.2021.101666,GCF-0.1,765.19,0.15,273.15,0.31,2021.0,GO-based composite,85.36
10.1016_j.jcou.2021.101666,GCF-0.1,765.19,1.0,273.15,0.31,2021.0,GO-based composite,194.48
10.1016_j.jcou.2021.101666,GCF-0.1,765.19,0.15,298.15,0.31,2021.0,GO-based composite,63.8
10.1016_j.jcou.2021.101666,GCF-0.1,765.19,1.0,298.15,0.31,2021.0,GO-based composite,159.28
10.1016_j.jcou.2021.101666,GCF-0.2,770.03,0.15,273.15,0.32,2021.0,GO-based composite,89.32
10.1016_j.jcou.2021.101666,GCF-0.2,770.03,1.0,273.15,0.32,2021.0,GO-based composite,219.56
10.1016_j.jcou.2021.101666,GCF-0.2,770.03,0.15,298.15,0.32,2021.0,GO-based composite,60.28
10.1016_j.jcou.2021.101666,GCF-0.2,770.03,1.0,298.15,0.32,2021.0,GO-based composite,150.92000000000002
10.1016_j.jcou.2021.101666,GCF-0.5,795.27,0.15,273.15,0.38,2021.0,GO-based composite,88.88
10.1016_j.jcou.2021.101666,GCF-0.5,795.27,1.0,273.15,0.38,2021.0,GO-based composite,201.96
10.1016_j.jcou.2021.101666,GCF-0.5,795.27,0.15,298.15,0.38,2021.0,GO-based composite,61.6
10.1016_j.jcou.2021.101666,GCF-0.5,795.27,1.0,298.15,0.38,2021.0,GO-based composite,152.24
10.1016_j.micromeso.2019.109761,aPAni,1800.0,1.0,298.15,0.88,2019.0,GO-based composite,190.96
10.1016_j.micromeso.2019.109761,aPAni,1800.0,1.0,273.15,0.88,2019.0,GO-based composite,316.8
10.1016_j.micromeso.2019.109761,aPPy,2420.0,1.0,298.15,1.17,2019.0,GO-based composite,177.32000000000002
10.1016_j.micromeso.2019.109761,aPPy,2420.0,1.0,273.15,1.17,2019.0,GO-based composite,308.0
10.1016_j.psep.2021.02.014,S.H,,1.0,303.0,,2021.0,Graphene non-composite,122.32
10.1016_j.fuel.2019.03.011,GO *,289.028,0.101325,338.0,0.046,2019.0,GO non-composite,4.4
10.1016_j.ijhydene.2014.05.059,GO,51.0,1.0,353.15,0.05,2014.0,GO non-composite,7.48
10.1016_j.ijhydene.2014.05.059,HPGC-750,239.0,1.0,353.15,0.69,2014.0,Graphene non-composite,60.72
10.1016_j.ijhydene.2014.05.059,HPGC-850,459.0,1.0,353.15,1.17,2014.0,Graphene non-composite,77.44
10.1016_j.ijhydene.2014.05.059,HPGC-950,532.0,1.0,353.15,1.67,2014.0,Graphene non-composite,63.8
10.1016_j.jallcom.2020.157534,rGO/NPC-600-1-0.5,869.2,1.0,408.25,0.12,2020.0,rGO-based composite,91.2956
